Row 2: ID=[Project-ID], Name=[Example Feature Name]
Row 3: ID=[ROUTE-631], Name=[Profile - EMR Rating]
Row 4: ID=[ROUTE-621], Name=[Opportunity Posting]
Row 5: ID=[], Name=[Anynomous Posting]
Row 6: ID=[], Name=[Adding Unique Opportunity #'s, location # and Change #'s Versions]
Row 7: ID=[ROUTE-619], Name=[Loops Invitation Email Template Updates]
Row 8: ID=[ROUTE-618], Name=[AI Call Bots - autogenz.ai]
Row 9: ID=[ROUTE-617], Name=[Profile Bluebook Comparisson]
Row 10: ID=[ROUTE-616], Name=[Registration, Profile, Opportunity Posting Data Fields]
Row 11: ID=[ROUTE-615], Name=[Opportunity Posting Template

Large-Scale Opportunity Posting & Management (CSV Data Points)]
Row 12: ID=[ROUTE-610], Name=[SOW Template

Independent contractor/contractor/subcontractor service agreement TEMPLATE

Contract Posting Options and Scope Detail]
Row 13: ID=[ROUTE-609], Name=[Tool: Minimum Wage Tracker Reference Link]
Row 14: ID=[], Name=[Tool: Sales tax by state reference link]
Row 15: ID=[ROUTE-607], Name=[COI Compliance and AI Text Scanning MVP]
Row 16: ID=[ROUTE-606], Name=[Contractor Network Management and Scope Expansion]
Row 17: ID=[ROUTE-602], Name=[Data Sync, Search Feedback, and Geocoding Logic]
Row 18: ID=[ROUTE-600], Name=[Display Service Radius in Miles and Kilometers]
Row 19: ID=[ROUTE-599], Name=[Contractor ISN Compliance Status Tracking]
Row 20: ID=[], Name=[Federal Security Code]
Row 21: ID=[ROUTE-598], Name=[Cell Phone vs LandLine (with extension)]
Row 22: ID=[ROUTE-597], Name=[Email Template: Add Secondary Owner]
Row 23: ID=[ROUTE-596], Name=[Advanced Contact and Notification Settings]
Row 24: ID=[ROUTE-595], Name=[Enable Copying of Company Branch Profiles]
Row 25: ID=[ROUTE-594], Name=[Contractor Vetting Data Fields and Vetting Questions]
Row 26: ID=[ROUTE-592], Name=[Show Registration and Profile Progress]
Row 27: ID=[ROUTE-591], Name=[Add Pitch Field to Contractor Submissions]
Row 28: ID=[ROUTE-590], Name=[Add Subcontractor Background Check Details]
Row 29: ID=[ROUTE-589], Name=[Capture Subcontractor Industry/Account Experience]
Row 30: ID=[ROUTE-588], Name=[Define Workforce, Employees, and Contractors]
Row 31: ID=[ROUTE-582], Name=[Add "Maybe" Option for Subcontract Status]
Row 32: ID=[ROUTE-580], Name=[State-Based Mandatory Profile Fields]
Row 33: ID=[ROUTE-579], Name=[Ratings and Reviews]
Row 34: ID=[ROUTE-578], Name=[Save/Favorite SubContractor]
Row 35: ID=[ROUTE-564], Name=[Exchange Email Flow Award, Lost, Not approved 11.25.25. STATUS NOTIFICATION]
Row 36: ID=[ROUTE-557], Name=[Chat Functionality Feedback (see screen shot)]
Row 37: ID=[ROUTE-552], Name=[Contract Management

Exchange Network Dashboard for Prime Contractors]
Row 38: ID=[ROUTE-550], Name=[Add a ICON/Tool that allows for quick OPEN 24 Hours Day]
Row 39: ID=[], Name=[Searching map by Name]
Row 40: ID=[], Name=[Leads]
Row 41: ID=[], Name=[Role Permissions (Admin vs super admin)]
Row 42: ID=[], Name=[Multiple Emails per user]
Row 43: ID=[], Name=[Subcontractor Take Rate]
Row 44: ID=[], Name=[]
Row 45: ID=[], Name=[]
Row 46: ID=[], Name=[]
Row 47: ID=[], Name=[]
Row 48: ID=[], Name=[]
Row 49: ID=[], Name=[]
Row 50: ID=[], Name=[]
Row 51: ID=[], Name=[]
Row 52: ID=[], Name=[]
Row 53: ID=[], Name=[]
Row 54: ID=[], Name=[]
Row 55: ID=[], Name=[]
Row 56: ID=[], Name=[]
Row 57: ID=[], Name=[]
Row 58: ID=[], Name=[]
Row 59: ID=[], Name=[]
Row 60: ID=[], Name=[]
Row 61: ID=[], Name=[]
Row 62: ID=[], Name=[]
Row 63: ID=[], Name=[]
Row 64: ID=[], Name=[]
Row 65: ID=[], Name=[]
Row 66: ID=[], Name=[]
Row 67: ID=[], Name=[]
Row 68: ID=[], Name=[]
Row 69: ID=[], Name=[]
Row 70: ID=[], Name=[]
Row 71: ID=[], Name=[]
Row 72: ID=[], Name=[]
Row 73: ID=[], Name=[]
Row 74: ID=[], Name=[]
Row 75: ID=[], Name=[]
Row 76: ID=[], Name=[]
Row 77: ID=[], Name=[]
Row 78: ID=[], Name=[]
Row 79: ID=[], Name=[]
Row 80: ID=[], Name=[]
Row 81: ID=[], Name=[]
Row 82: ID=[], Name=[]
Row 83: ID=[], Name=[]
Row 84: ID=[], Name=[]
Row 85: ID=[], Name=[]
Row 86: ID=[], Name=[]
Row 87: ID=[], Name=[]
Row 88: ID=[], Name=[]
Row 89: ID=[], Name=[]
Row 90: ID=[], Name=[]
Row 91: ID=[], Name=[]
Row 92: ID=[], Name=[]
Row 93: ID=[], Name=[]
Row 94: ID=[], Name=[]
Row 95: ID=[], Name=[]
Row 96: ID=[], Name=[]
Row 97: ID=[], Name=[]
Row 98: ID=[], Name=[]
Row 99: ID=[], Name=[]
Row 100: ID=[], Name=[]
Row 101: ID=[], Name=[]
Row 102: ID=[], Name=[]
Row 103: ID=[], Name=[]
Row 104: ID=[], Name=[]
Row 105: ID=[], Name=[]
Row 106: ID=[], Name=[]
Row 107: ID=[], Name=[]
Row 108: ID=[], Name=[]
Row 109: ID=[], Name=[]
Row 110: ID=[], Name=[]
Row 111: ID=[], Name=[]
Row 112: ID=[], Name=[]
Row 113: ID=[], Name=[]
Row 114: ID=[], Name=[]
Row 115: ID=[], Name=[]
Row 116: ID=[], Name=[]
Row 117: ID=[], Name=[]
Row 118: ID=[], Name=[]
Row 119: ID=[], Name=[]
Row 120: ID=[], Name=[]
Row 121: ID=[], Name=[]
Row 122: ID=[], Name=[]
Row 123: ID=[], Name=[]
Row 124: ID=[], Name=[]
Row 125: ID=[], Name=[]
Row 126: ID=[], Name=[]
Row 127: ID=[], Name=[]
Row 128: ID=[], Name=[]
Row 129: ID=[], Name=[]
Row 130: ID=[], Name=[]
Row 131: ID=[], Name=[]
Row 132: ID=[], Name=[]
Row 133: ID=[], Name=[]
Row 134: ID=[], Name=[]
Row 135: ID=[], Name=[]
Row 136: ID=[], Name=[]
Row 137: ID=[], Name=[]
Row 138: ID=[], Name=[]
Row 139: ID=[], Name=[]
Row 140: ID=[], Name=[]
Row 141: ID=[], Name=[]
Row 142: ID=[], Name=[]
Row 143: ID=[], Name=[]
Row 144: ID=[], Name=[]
Row 145: ID=[], Name=[]
Row 146: ID=[], Name=[]
Row 147: ID=[], Name=[]
Row 148: ID=[], Name=[]
Row 149: ID=[], Name=[]
Row 150: ID=[], Name=[]
Row 151: ID=[], Name=[]
Row 152: ID=[], Name=[]
Row 153: ID=[], Name=[]
Row 154: ID=[], Name=[]
Row 155: ID=[], Name=[]
Row 156: ID=[], Name=[]
Row 157: ID=[], Name=[]
Row 158: ID=[], Name=[]
Row 159: ID=[], Name=[]
Row 160: ID=[], Name=[]
Row 161: ID=[], Name=[]
Row 162: ID=[], Name=[]
Row 163: ID=[], Name=[]
Row 164: ID=[], Name=[]
Row 165: ID=[], Name=[]
Row 166: ID=[], Name=[]
Row 167: ID=[], Name=[]
Row 168: ID=[], Name=[]
Row 169: ID=[], Name=[]
Row 170: ID=[], Name=[]
Row 171: ID=[], Name=[]
Row 172: ID=[], Name=[]
Row 173: ID=[], Name=[]
Row 174: ID=[], Name=[]
Row 175: ID=[], Name=[]
Row 176: ID=[], Name=[]
Row 177: ID=[], Name=[]
Row 178: ID=[], Name=[]
Row 179: ID=[], Name=[]
Row 180: ID=[], Name=[]
Row 181: ID=[], Name=[]
Row 182: ID=[], Name=[]
Row 183: ID=[], Name=[]
Row 184: ID=[], Name=[]
Row 185: ID=[], Name=[]
Row 186: ID=[], Name=[]
Row 187: ID=[], Name=[]
Row 188: ID=[], Name=[]
Row 189: ID=[], Name=[]
Row 190: ID=[], Name=[]
Row 191: ID=[], Name=[]
Row 192: ID=[], Name=[]
Row 193: ID=[], Name=[]
Row 194: ID=[], Name=[]
Row 195: ID=[], Name=[]
Row 196: ID=[], Name=[]
Row 197: ID=[], Name=[]
Row 198: ID=[], Name=[]
Row 199: ID=[], Name=[]
Row 200: ID=[], Name=[]
Row 201: ID=[], Name=[]
Row 202: ID=[], Name=[]
Row 203: ID=[], Name=[]
Row 204: ID=[], Name=[]
Row 205: ID=[], Name=[]
Row 206: ID=[], Name=[]
Row 207: ID=[], Name=[]
Row 208: ID=[], Name=[]
Row 209: ID=[], Name=[]
Row 210: ID=[], Name=[]
Row 211: ID=[], Name=[]
Row 212: ID=[], Name=[]
Row 213: ID=[], Name=[]
Row 214: ID=[], Name=[]
Row 215: ID=[], Name=[]
Row 216: ID=[], Name=[]
Row 217: ID=[], Name=[]
Row 218: ID=[], Name=[]
Row 219: ID=[], Name=[]
Row 220: ID=[], Name=[]
Row 221: ID=[], Name=[]
Row 222: ID=[], Name=[]
Row 223: ID=[], Name=[]
Row 224: ID=[], Name=[]
Row 225: ID=[], Name=[]
Row 226: ID=[], Name=[]
Row 227: ID=[], Name=[]
Row 228: ID=[], Name=[]
Row 229: ID=[], Name=[]
Row 230: ID=[], Name=[]
Row 231: ID=[], Name=[]
Row 232: ID=[], Name=[]
Row 233: ID=[], Name=[]
Row 234: ID=[], Name=[]
Row 235: ID=[], Name=[]
Row 236: ID=[], Name=[]
Row 237: ID=[], Name=[]
Row 238: ID=[], Name=[]
Row 239: ID=[], Name=[]
Row 240: ID=[], Name=[]
Row 241: ID=[], Name=[]
Row 242: ID=[], Name=[]
Row 243: ID=[], Name=[]
